best_cam,camera_side_1_bone_length_cv_median,camera_side_1_median_bbox_area_uv,camera_side_1_total_frames,camera_side_1_valid_frames,camera_side_1_valid_ratio,camera_side_1_view_score,camera_side_1_wrist_jitter_p90_uv,camera_side_2_bone_length_cv_median,camera_side_2_median_bbox_area_uv,camera_side_2_total_frames,camera_side_2_valid_frames,camera_side_2_valid_ratio,camera_side_2_view_score,camera_side_2_wrist_jitter_p90_uv,camera_top_bone_length_cv_median,camera_top_median_bbox_area_uv,camera_top_total_frames,camera_top_valid_frames,camera_top_valid_ratio,camera_top_view_score,camera_top_wrist_jitter_p90_uv,obj_id,obj_pose_frames,session,side,task_name,triangulated_valid_points,triangulation_median_reprojection_px,triangulation_mode
camera_top,0.1895250529050827,0.01030353456735611,235,235,1.0,0.9218733941391111,0.006618813425302507,0.12154081836342812,0.010977375321090221,235,233,0.9914893617021276,0.9410054036585039,0.00533608770929277,0.10607047006487846,0.006724245380610228,235,235,1.0,0.956214326613117,0.0038785296026617295,Bread #1,235,weigh_bread__2026_0701_0044_30,rh,weigh_bread,4935,2.3091403564050914,world_to_camera
camera_side_2,0.11946834623813629,0.013538924045860767,217,201,0.9262672811059908,0.8757703522814133,0.007741686655208468,0.08298995345830917,0.008733987808227539,217,217,1.0,0.9642900909413583,0.007182650500908494,0.09723811224102974,0.006583033129572868,217,217,1.0,0.9593631314113735,0.004976067692041397,Bread #1,217,weigh_bread__left__2026_0701_0046_02,lh,weigh_bread__left,4557,2.123089380757168,world_to_camera
camera_side_1,0.11024784669280052,0.017889490351080894,235,235,1.0,0.9542239880911074,0.004791066376492383,0.16329528391361237,0.006548393052071333,235,55,0.23404255319148937,0.1668366496869799,0.0053936855401843795,0.21998022496700287,0.004844130948185921,235,235,1.0,0.9106728352047503,0.0038144994527101518,Drink YYKX,242,weigh_drink_yykx__2026_0701_0051_12,rh,weigh_drink_yykx,4935,1.7192722304467696,world_to_camera
camera_top,0.24073760956525803,0.01029466837644577,235,235,1.0,0.9022500603366643,0.0041568452492356306,0.2340855970978737,0.0065873465500772,235,205,0.8723404255319149,0.7770538403113135,0.004720989661291242,0.20180638134479523,0.005861818324774504,235,235,1.0,0.9179216439148876,0.0038737244205549366,Pipette #1,315,grasp_pipette_press__2026_0701_0028_11,rh,grasp_pipette_press,4935,3.6749664702624094,world_to_camera
