frame_id,timestamp_sec,file_name,valid,interpolated_flag,quality_score,handedness,handedness_score,temporal_jump_score,bone_length_error,wrist_step,fingertip_step_max,fingertip_step_mean,bbox_area,mask_area,mask_bbox_ratio,mask_inside_bbox,mask_bbox_iou,mask_area_change,bbox_area_change,failure_reason,risk_level,risk_reasons
0,0.0,000000.jpg,True,False,0.9965959191322327,Left,0.9965959191322327,0.0,0.003530728630721569,0.0,0.0,0.0,14057.857421875,12946.0,0.9209084510803223,0.9359647631645203,0.7830802798271179,0.0,0.0,ok,ok,ok
1,0.06666667014360428,000001.jpg,True,False,0.9896170496940613,Left,0.9896170496940613,0.6543250679969788,0.0034197913482785225,0.0023626836482435465,0.002475892659276724,0.0016989164287224412,13024.9794921875,12341.0,0.9474871158599854,0.9236690998077393,0.7865325808525085,0.047850675880908966,0.07627546042203903,ok,ok,ok
2,0.13333334028720856,000002.jpg,True,False,0.9848707318305969,Left,0.9848707318305969,0.7792953848838806,0.0033389965537935495,0.002813935512676835,0.002480828668922186,0.001727855415083468,13095.91796875,12457.0,0.9512124061584473,0.9246206879615784,0.7823129296302795,0.009355593472719193,0.005431549623608589,ok,ok,ok
3,0.20000000298023224,000003.jpg,True,False,0.986465573310852,Left,0.986465573310852,0.6721005439758301,0.003482299856841564,0.0024268687702715397,0.002299364423379302,0.0014994407538324594,13107.3134765625,12404.0,0.9463419318199158,0.9261528253555298,0.7829936742782593,0.004263706039637327,0.0008697788580320776,ok,ok,ok
4,0.2666666805744171,000004.jpg,True,False,0.985002875328064,Left,0.985002875328064,0.15443341434001923,0.003369237994775176,0.0005576392286457121,0.0016637701774016023,0.0007877677562646568,13253.86328125,12449.0,0.9392732977867126,0.9279460310935974,0.787280261516571,0.003621293231844902,0.011118609458208084,ok,ok,ok
5,0.3333333432674408,000005.jpg,True,False,0.987402081489563,Left,0.987402081489563,0.09125863760709763,0.003416233230382204,0.00032952320179902017,0.0004342785687185824,0.0003704509581439197,13152.8974609375,12465.0,0.9476999044418335,0.9270758032798767,0.7812828421592712,0.0012844183947890997,0.007646967191249132,ok,ok,ok
6,0.4000000059604645,000006.jpg,True,False,0.9857427477836609,Left,0.9857427477836609,0.2520926296710968,0.003544948296621442,0.0009102740441448987,0.000740717863664031,0.0006274658371694386,13225.8671875,12475.0,0.9432273507118225,0.9301002025604248,0.7770779728889465,0.0008019246160984039,0.005532459355890751,ok,ok,ok
7,0.46666666865348816,000007.jpg,True,False,0.9874173402786255,Left,0.9874173402786255,0.1363442987203598,0.003485914785414934,0.0004923217347823083,0.0006337818340398371,0.00037564095691777766,13264.849609375,12557.0,0.9466372132301331,0.9285657405853271,0.7793684005737305,0.0065516140311956406,0.0029431006405502558,ok,ok,ok
8,0.5333333611488342,000008.jpg,True,False,0.9857775568962097,Left,0.9857775568962097,0.22486437857151031,0.0034950319677591324,0.0008119563572108746,0.0013332761591300368,0.0004360808525234461,13324.0185546875,12499.0,0.938080370426178,0.9282342791557312,0.7871924042701721,0.004629629664123058,0.004450655542314053,ok,ok,ok
9,0.6000000238418579,000009.jpg,True,False,0.9849190711975098,Left,0.9849190711975098,0.13751830160617828,0.003487224457785487,0.0004965609405189753,0.0010904492810368538,0.00046268803998827934,13292.4169921875,12493.0,0.93985915184021,0.9267590045928955,0.7853253483772278,0.00048015365609899163,0.002374590141698718,ok,ok,ok
10,0.6666666865348816,000010.jpg,True,False,0.9858621954917908,Left,0.9858621954917908,0.2797318994998932,0.003386435331776738,0.0010100759100168943,0.001881018397398293,0.0007593146874569356,13363.9404296875,12622.0,0.9444819092750549,0.9279828667640686,0.7851903438568115,0.010272745043039322,0.005366332363337278,ok,ok,ok
11,0.7333333492279053,000011.jpg,True,False,0.9869468212127686,Left,0.9869468212127686,0.24321642518043518,0.0032982719130814075,0.0008782232762314379,0.0017172512598335743,0.0007479718187823892,13546.25390625,12712.0,0.9384143948554993,0.931403398513794,0.7831109762191772,0.007105076219886541,0.01354977022856474,ok,ok,ok
12,0.800000011920929,000012.jpg,True,False,0.9883500933647156,Left,0.9883500933647156,0.12564493715763092,0.003234971547499299,0.0004536877095233649,0.0016186427092179656,0.0009465405019000173,13739.724609375,12782.0,0.9302952289581299,0.933343768119812,0.7900934815406799,0.0054914881475269794,0.014180961064994335,ok,ok,ok
13,0.8666666746139526,000013.jpg,True,False,0.9893010258674622,Left,0.9893010258674622,0.13084135949611664,0.003166484646499157,0.00047245132736861706,0.0020302345510572195,0.0008536420064046979,13969.685546875,13097.0,0.9375300407409668,0.932809054851532,0.7863600254058838,0.02434406243264675,0.016598038375377655,ok,ok,ok
14,0.9333333373069763,000014.jpg,True,False,0.9894291162490845,Left,0.9894291162490845,0.249603271484375,0.0030862255953252316,0.0009012853261083364,0.0014697208534926176,0.0010930749122053385,14162.86328125,13121.0,0.9264369606971741,0.9358280897140503,0.7889295816421509,0.0018308032304048538,0.013733397237956524,ok,ok,ok
15,1.0,000015.jpg,True,False,0.9899992942810059,Left,0.9899992942810059,0.12150520831346512,0.00301586021669209,0.0004387396911624819,0.0017508104210719466,0.0008630148367956281,14282.734375,13322.0,0.9327345490455627,0.9367212057113647,0.7832164168357849,0.015202511101961136,0.008428094908595085,ok,ok,ok
16,1.0666667222976685,000016.jpg,True,False,0.9922735095024109,Left,0.9922735095024109,0.14723385870456696,0.0029383322689682245,0.0005316425231285393,0.0022540322970598936,0.0011156023247167468,14564.7265625,13460.0,0.9241505265235901,0.9366270303726196,0.7905300855636597,0.010305428877472878,0.019550573080778122,ok,ok,ok
